회사명,종목코드,상장일,상장유형,증권구분,업종,국적,상장주선인/,액면가 (원),공모가 (원),공모금액 (천원),주요제품,최초상장주식수 (주)
줌인터넷,229480,2016-06-10,신규상장,주권,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",대한민국,(주)상상인증권,500,-,-,"줌닷컴, 이글루스, 스윙브라우저 등","10,344,680"
미래에셋제5호스팩,239340,2016-06-09,신규상장,주권,금융 지원 서비스업,대한민국,미래에셋증권(주),100,"2,000","9,000,000",기업인수합병,"4,800,000"
스페이스솔루션,245030,2016-06-03,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,아이비케이투자증권(주),500,-,-,엔지니어링 솔루션(CAD/CAM/CAE/PLM/DM) 및 자수기제어기,"1,120,000"
나눔테크,244880,2016-06-01,신규상장,주권,의료용 기기 제조업,대한민국,유진투자증권(주),500,-,-,"자동심장충격기, 골밀도진단기","4,000,000"
KC산업,112190,2016-05-31,신규상장,주권,"시멘트, 석회, 플라스터 및 그 제품 제조업",대한민국,하이투자증권(주),500,-,-,철강보강콘크리트제품,"5,000,000"
용평리조트,070960,2016-05-27,신규상장,주권,일반 및 생활 숙박시설 운영업,대한민국,미래에셋증권 주식회사,"5,000","7,000","93,632,000","리조트 운영, 콘도 분양","48,133,333"
영현무역,242850,2016-05-20,신규상장,주권,상품 중개업,대한민국,해당없음,500,-,-,의류(봉제),"1,620,000"
본느,242420,2016-05-16,신규상장,주권,기타 화학제품 제조업,대한민국,현대차증권(주),500,-,-,"ODM화장품, BRAND화장품","2,550,000"
해태제과식품,101530,2016-05-11,신규상장,주권,기타 식품 제조업,대한민국,"엔에이치투자증권주식회사,삼성증권(주)",500,"15,100","88,033,000","홈런볼, 오예스, 맛동산, 부라보콘 등","19,209,740"
오스테오닉,226400,2016-05-04,신규상장,주권,의료용 기기 제조업,대한민국,키움증권(주),500,-,-,"의료용 스크류, 플레이트","4,738,011"
엠로,058970,2016-04-28,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,한국투자증권(주),500,-,-,구매 SCM솔루션,"4,815,000"
이에스산업,241510,2016-04-26,신규상장,주권,일반 목적용 기계 제조업,대한민국,해당없음,500,-,-,전동공구,"4,460,000"
인터코스,240340,2016-04-21,신규상장,주권,기타 화학제품 제조업,대한민국,KB증권(주),500,-,-,"스킨로션, 기능성제품류, 헤어제품류, 의약외품 등(화장품 ODM)","3,137,200"
로보쓰리,238500,2016-04-20,신규상장,주권,"그외 기타 전문, 과학 및 기술 서비스업",대한민국,하이투자증권(주),500,-,-,"모듈, 퍼스널 모빌리티기기","4,228,166"
레이언스,228850,2016-04-11,신규상장,주권,의료용 기기 제조업,대한민국,대신증권(주),500,"25,000","100,000,000","TFT Detector, CMOS Detector, I/O Sensor","16,591,014"
씨엠에스에듀,225330,2016-04-07,신규상장,주권,일반 교습 학원,대한민국,"유안타증권(주),삼성증권(주)",500,"23,200","28,768,000",융합사고력 프로그램,"4,205,350"
동양파일,228340,2016-04-06,신규상장,주권,"시멘트, 석회, 플라스터 및 그 제품 제조업",대한민국,대신증권(주),500,"10,000","80,000,000",PHC파일,"20,000,000"
대림씨엔에스,004440,2016-03-30,신규상장,주권,"시멘트, 석회, 플라스터 및 그 제품 제조업",대한민국,미래에셋증권 주식회사,"1,000","27,700","123,436,214","PHC파일, 골재, 강교제작","12,731,947"
SGA시스템즈,232290,2016-03-30,신규상장,주권,소프트웨어 개발 및 공급업,대한민국,SK증권(주),500,-,-,공공 및 교육기관 시스템통합(SI) 및 유지보수,"6,014,763"
