시장구분,회사명,신고서제출일,수요예측일정,청약일정,납입일,확정공모가,공모금액(백만원),상장예정일,상장주선인/
코스닥 상장추진,비씨엔씨,2022-01-20,   2022-02-16,   2022-02-21,2022-02-24,"13,000","32,500",2022-03-03,엔에이치투자증권주식회사
,,,~ 2022-02-17,~ 2022-02-22,,,,,
코스닥 상장추진,메쎄이상,2022-01-20,   2022-02-16,   2022-02-22,2022-02-25,"2,000","6,000",2022-03-07,SK증권㈜
,,,~ 2022-02-17,~ 2022-02-23,,,,,
유가증권 상장추진,코람코더원리츠,2022-01-19,   2020-02-21,   2022-03-02,2022-03-07,"5,000","97,500",2022-03-28,"삼성증권㈜,하나증권주식회사"
,,,~ 2020-02-22,~ 2022-03-03,,,,,
코스닥 상장추진,노을,2022-01-19,   2022-02-15,   2022-02-21,2022-02-24,"10,000","15,000",2022-03-03,"한국투자증권㈜,삼성증권㈜"
,,,~ 2022-02-16,~ 2022-02-22,,,,,
코스닥 상장추진,하나금융21호스팩,2022-01-13,   2022-02-09,   2022-02-15,2022-02-18,"2,000","12,000",2022-02-25,하나증권주식회사
,,,~ 2022-02-10,~ 2022-02-16,,,,,
코스닥 상장추진,풍원정밀,2022-01-11,   2022-02-10,   2022-02-17,2022-02-22,"15,200","45,600",2022-02-28,대신증권㈜
,,,~ 2022-02-11,~ 2022-02-18,,,,,
코스닥 상장추진,퓨런티어,2022-01-07,   2022-02-07,   2022-02-14,2022-02-17,"15,000","24,000",2022-02-23,"유안타증권㈜,신한투자증권 주식회사"
,,,~ 2022-02-08,~ 2022-02-15,,,,,
코스닥 상장추진,인카금융서비스,2022-01-07,   2022-01-24,   2022-02-07,2022-02-10,"18,000","15,836",2022-02-16,한국투자증권㈜
,,,~ 2022-01-25,~ 2022-02-08,,,,,
코스닥 상장추진,스톤브릿지벤처스,2022-01-07,   2022-02-09,   2022-02-15,2022-02-18,"8,000","32,400",2022-02-25,"KB증권㈜,삼성증권㈜"
,,,~ 2022-02-10,~ 2022-02-16,,,,,
코스닥 상장추진,브이씨,2022-01-07,   2022-02-10,   2022-02-15,2022-02-18,"15,000","15,000",2022-02-24,한국투자증권㈜
,,,~ 2022-02-11,~ 2022-02-16,,,,,
코스닥 상장추진,한국제10호스팩,2021-12-30,   2022-01-25,   2022-02-10,2022-02-15,"2,000","9,000",2022-02-21,한국투자증권㈜
,,,~ 2022-01-26,~ 2022-02-11,,,,,
코스닥 상장추진,바이오에프디엔씨,2021-12-29,   2022-01-24,   2022-02-09,2022-02-14,"28,000","36,400",2022-02-21,DB금융투자주식회사
,,,~ 2022-01-25,~ 2022-02-10,,,,,
코스닥 상장추진,아셈스,2021-12-24,   2022-01-17,   2022-01-24,2022-01-27,"8,000","16,000",2022-02-07,한국투자증권㈜
,,,~ 2022-01-18,~ 2022-01-25,,,,,
코스닥 상장추진,이지트로닉스,2021-12-22,   2022-01-13,   2022-01-20,2022-01-25,"22,000","43,560",2022-02-04,엔에이치투자증권주식회사
,,,~ 2022-01-14,~ 2022-01-21,,,,,
코스닥 상장추진,IBKS제17호스팩,2021-12-22,   2022-02-03,   2022-02-08,2022-02-11,"2,000","5,000",2022-02-18,IBK투자증권㈜
,,,~ 2022-02-04,~ 2022-02-09,,,,,
코스닥 상장추진,스코넥,2021-12-20,   2022-01-13,   2022-01-20,2022-01-25,"13,000","28,942",2022-02-04,신영증권㈜
,,,~ 2022-01-14,~ 2022-01-21,,,,,
코스닥 상장추진,나래나노텍,2021-12-17,   2022-01-17,   2022-01-24,2022-01-27,"17,500","54,250",2022-02-08,미래에셋증권 주식회사
,,,~ 2022-01-18,~ 2022-01-25,,,,,
코스닥 상장추진,디비금융스팩10호,2021-12-16,   2022-01-06,   2022-01-10,2022-01-13,"2,000","10,000",2022-01-20,DB금융투자주식회사
,,,~ 2022-01-06,~ 2022-01-11,,,,,
코스닥 상장추진,케이옥션,2021-12-14,   2022-01-06,   2022-01-12,2022-01-17,"20,000","32,000",2022-01-24,신영증권㈜
,,,~ 2022-01-07,~ 2022-01-13,,,,,
유가증권 상장추진,LG에너지솔루션,2021-12-07,   2022-01-11,   2022-01-18,2022-01-21,"300,000","12,750,000",2022-01-27,"KB증권㈜,모건스탠리 인터내셔날증권회사 서울지점"
,,,~ 2022-01-12,~ 2022-01-19,,,,,
코스닥 상장추진,애드바이오텍,2021-11-30,   2022-01-06,   2022-01-13,2022-01-18,"7,000","9,520",2022-01-24,대신증권㈜
,,,~ 2022-01-07,~ 2022-01-14,,,,,
코스닥 상장추진,하나금융20호스팩,2021-11-19,   2021-12-13,   2021-12-16,2021-12-21,"2,000","6,000",2021-12-27,하나증권주식회사
,,,~ 2021-12-14,~ 2021-12-17,,,,,
코스닥 상장추진,엔에이치스팩22호,2021-11-19,   2021-12-13,   2021-12-16,2021-12-20,"2,000","12,000",2021-12-24,엔에이치투자증권주식회사
,,,~ 2021-12-14,~ 2021-12-17,,,,,
코스닥 상장추진,래몽래인,2021-11-17,   2021-12-15,   2021-12-20,2021-12-23,"15,000","18,000",2021-12-30,IBK투자증권㈜
,,,~ 2021-12-16,~ 2021-12-21,,,,,
코스닥 상장추진,오토앤,2021-11-16,   2022-01-05,   2022-01-11,2022-01-14,"5,300","15,251",2022-01-20,미래에셋증권 주식회사
,,,~ 2022-01-06,~ 2022-01-12,,,,,
코스닥 상장추진,교보11호스팩,2021-11-11,   2021-12-06,   2021-12-09,2021-12-14,"2,000","8,400",2021-12-20,교보증권㈜
,,,~ 2021-12-07,~ 2021-12-10,,,,,
코스닥 상장추진,툴젠,2021-11-10,   2021-11-25,   2021-12-02,2021-12-06,"70,000","70,000",2021-12-10,한국투자증권㈜
,,,~ 2021-11-26,~ 2021-12-03,,,,,
코스닥 상장추진,하이제7호스팩,2021-11-08,   2021-12-06,   2021-12-09,2021-12-14,"2,000",5,2021-12-20,하이투자증권㈜
,,,~ 2021-12-07,~ 2021-12-10,,,,,
코스닥 상장추진,우리벤처파트너스,2021-11-05,   2021-11-29,   2021-12-06,2021-12-09,"5,800","116,000",2021-12-16,한국투자증권㈜
,,,~ 2021-11-30,~ 2021-12-07,,,,,
코스닥 상장추진,대신밸런스제11호스팩,2021-10-26,   2021-11-17,   2021-11-22,2021-11-25,"2,000","13,000",2021-12-02,대신증권㈜
,,,~ 2021-11-18,~ 2021-11-23,,,,,
유가증권 상장추진,신한서부티엔디리츠,2021-10-22,   2021-11-17,   2021-11-24,2021-11-30,"5,000","134,889",2021-12-10,한국투자증권㈜
,,,~ 2021-11-18,~ 2021-11-26,,,,,
유가증권 상장추진,미래에셋글로벌리츠,2021-10-22,   2021-11-15,   2021-11-22,2021-11-26,"5,000","75,100",2021-12-03,미래에셋증권 주식회사
,,,~ 2021-11-17,~ 2021-11-24,,,,,
코스닥 상장추진,마음AI,2021-10-15,   2021-11-08,   2021-11-11,2021-11-16,"30,000","18,134",2021-11-23,"엔에이치투자증권주식회사,하나증권주식회사"
,,,~ 2021-11-09,~ 2021-11-12,,,,,
코스닥 상장추진,알비더블유,2021-10-14,   2021-11-05,   2021-11-11,2021-11-16,"21,400","26,814",2021-11-22,미래에셋증권 주식회사
,,,~ 2021-11-08,~ 2021-11-12,,,,,
코스닥 상장추진,피코그램,2021-10-08,   2021-10-19,   2021-10-25,2021-10-28,"12,500","12,500",2021-11-03,IBK투자증권㈜
,,,~ 2021-10-20,~ 2021-10-26,,,,,
코스닥 상장추진,트윔,2021-10-08,   2021-11-02,   2021-11-08,2021-11-11,"22,000","26,840",2021-11-17,대신증권㈜
,,,~ 2021-11-03,~ 2021-11-09,,,,,
코스닥 상장추진,바이옵트로,2021-10-08,   2021-11-03,   2021-11-09,2021-11-12,"7,500","7,500",2021-11-18,한국투자증권㈜
,,,~ 2021-11-04,~ 2021-11-10,,,,,
코스닥 상장추진,지오엘리먼트,2021-10-05,   2021-10-28,   2021-11-02,2021-11-05,"10,000","15,470",2021-11-11,엔에이치투자증권주식회사
,,,~ 2021-10-29,~ 2021-11-03,,,,,
코스닥 상장추진,아이티아이즈,2021-09-29,   2021-10-25,   2021-11-01,2021-11-04,"14,300","25,411",2021-11-11,신한투자증권 주식회사
,,,~ 2021-10-26,~ 2021-11-02,,,,,
유가증권 상장추진,NH올원리츠,2021-09-29,   2021-10-28,   2021-11-03,2021-11-09,"5,000","140,500",2021-11-18,한국투자증권㈜
,,,~ 2021-10-29,~ 2021-11-05,,,,,
코스닥 상장추진,디어유,2021-09-28,   2021-10-25,   2021-11-01,2021-11-04,"26,000","85,800",2021-11-10,한국투자증권㈜
,,,~ 2021-10-26,~ 2021-11-02,,,,,
유가증권 상장추진,카카오페이,2021-09-24,   2021-10-20,   2021-10-25,2021-10-28,"90,000","1,530,000",2021-11-03,"삼성증권㈜,골드만삭스증권 서울지점,제이피모간증권회사 서울지점"
,,,~ 2021-10-21,~ 2021-10-26,,,,,
코스닥 상장추진,지니너스,2021-09-23,   2021-10-21,   2021-10-27,2021-11-01,"20,000","40,000",2021-11-08,대신증권㈜
,,,~ 2021-10-22,~ 2021-10-28,,,,,
코스닥 상장추진,지앤비에스 에코,2021-09-16,   2021-10-14,   2021-10-19,2021-10-22,"17,400","24,795",2021-10-29,삼성증권㈜
,,,~ 2021-10-15,~ 2021-10-20,,,,,
코스닥 상장추진,엔켐,2021-09-16,   2021-10-15,   2021-10-21,2021-10-26,"42,000","95,030",2021-11-01,"신한투자증권 주식회사,대신증권㈜"
,,,~ 2021-10-18,~ 2021-10-22,,,,,
코스닥 상장추진,아이패밀리에스씨,2021-09-10,   2021-10-12,   2021-10-18,2021-10-21,"25,000","20,480",2021-10-28,삼성증권㈜
,,,~ 2021-10-13,~ 2021-10-19,,,,,
코스닥 상장추진,지아이텍,2021-09-06,   2021-10-05,   2021-10-12,2021-10-15,"14,000","37,800",2021-10-21,미래에셋증권 주식회사
,,,~ 2021-10-06,~ 2021-10-13,,,,,
코스닥 상장추진,비트나인,2021-09-03,   2021-10-25,   2021-11-01,2021-11-04,"11,000","22,781",2021-11-10,하나증권주식회사
,,,~ 2021-10-26,~ 2021-11-02,,,,,
유가증권 상장추진,케이카,2021-08-30,   2021-09-27,   2021-09-30,2021-10-06,"25,000","336,606",2021-10-13,"엔에이치투자증권주식회사,골드만삭스증권 서울지점"
,,,~ 2021-09-28,~ 2021-10-01,,,,,
코스닥 상장추진,씨유테크,2021-08-27,   2021-09-23,   2021-09-28,2021-10-01,"6,000","31,500",2021-10-08,대신증권㈜
,,,~ 2021-09-24,~ 2021-09-29,,,,,
코스닥 상장추진,아스플로,2021-08-25,   2021-09-16,   2021-09-27,2021-09-30,"25,000","15,750",2021-10-07,미래에셋증권 주식회사
,,,~ 2021-09-17,~ 2021-09-28,,,,,
코스닥 상장추진,하나금융19호스팩,2021-08-24,   2021-09-15,   2021-09-27,2021-09-30,"2,000","11,000",2021-10-07,하나증권주식회사
,,,~ 2021-09-16,~ 2021-09-28,,,,,
코스닥 상장추진,원준,2021-08-24,   2021-09-15,   2021-09-27,2021-09-30,"65,000","65,312",2021-10-07,엔에이치투자증권주식회사
,,,~ 2021-09-16,~ 2021-09-28,,,,,
코스닥 상장추진,프롬바이오,2021-08-19,   2021-09-09,   2021-09-14,2021-09-17,"18,000","43,200",2021-09-28,엔에이치투자증권주식회사
,,,~ 2021-09-10,~ 2021-09-15,,,,,
코스닥 상장추진,실리콘투,2021-08-18,   2021-09-09,   2021-09-14,2021-09-17,"27,200","44,989",2021-09-29,"미래에셋증권 주식회사,삼성증권㈜"
,,,~ 2021-09-10,~ 2021-09-15,,,,,
코스닥 상장추진,신한제8호스팩,2021-08-17,   2021-09-08,   2021-09-13,2021-09-16,"2,000","12,500",2021-09-27,신한투자증권 주식회사
,,,~ 2021-09-09,~ 2021-09-14,,,,,
코스닥 상장추진,바이오플러스,2021-08-17,   2021-09-08,   2021-09-13,2021-09-16,"31,500","44,100",2021-09-27,키움증권㈜
,,,~ 2021-09-09,~ 2021-09-14,,,,,
코스닥 상장추진,코닉오토메이션,2021-08-13,   2021-09-28,   2021-10-05,2021-10-08,"2,000","12,500",2021-10-15,엔에이치투자증권주식회사
,,,~ 2021-09-29,~ 2021-10-06,,,,,
유가증권 상장추진,HD현대중공업,2021-08-10,   2021-09-02,   2021-09-07,2021-09-10,"60,000","1,080,000",2021-09-17,"한국투자증권㈜,CS증권 서울지점,미래에셋증권 주식회사"
,,,~ 2021-09-03,~ 2021-09-08,,,,,
코스닥 상장추진,차백신연구소,2021-08-09,   2021-10-05,   2021-10-12,2021-10-15,"11,000","43,450",2021-10-22,삼성증권㈜
,,,~ 2021-10-06,~ 2021-10-13,,,,,
코스닥 상장추진,대신밸런스제10호스팩,2021-08-04,   2021-09-01,   2021-09-06,2021-09-09,"2,000","10,000",2021-09-17,대신증권㈜
,,,~ 2021-09-02,~ 2021-09-07,,,,,
코스닥 상장추진,엔에이치스팩20호,2021-08-03,   2021-09-14,   2021-09-23,2021-09-28,"2,000","40,000",2021-10-05,엔에이치투자증권주식회사
,,,~ 2021-09-15,~ 2021-09-24,,,,,
코스닥 상장추진,와이엠텍,2021-08-02,   2021-08-25,   2021-08-31,2021-09-03,"28,000","16,800",2021-09-10,KB증권㈜
,,,~ 2021-08-26,~ 2021-09-01,,,,,
코스닥 상장추진,에이비온,2021-08-02,   2021-08-24,   2021-08-30,2021-09-02,"17,000","38,760",2021-09-08,"미래에셋증권 주식회사,한화투자증권㈜"
,,,~ 2021-08-25,~ 2021-08-31,,,,,
코스닥 상장추진,유진스팩7호,2021-07-26,   2021-08-26,   2021-09-02,2021-09-07,"2,000","8,000",2021-09-13,유진투자증권㈜
,,,~ 2021-08-27,~ 2021-09-03,,,,,
코스닥 상장추진,라이콤,2021-07-23,   2021-08-19,   2021-08-24,2021-08-27,"2,000","6,380",2021-09-03,IBK투자증권㈜
,,,~ 2021-08-20,~ 2021-08-25,,,,,
코스닥 상장추진,에스앤디,2021-07-20,   2021-09-07,   2021-09-14,2021-09-17,"28,000","28,644",2021-09-29,유진투자증권㈜
,,,~ 2021-09-08,~ 2021-09-15,,,,,
유가증권 상장추진,SK리츠,2021-07-20,   2021-08-23,   2021-08-30,2021-09-03,"5,000","232,551",2021-09-14,"한국투자증권㈜,삼성증권㈜"
,,,~ 2021-08-24,~ 2021-09-01,,,,,
코스닥 상장추진,바이젠셀,2021-07-15,   2021-08-06,   2021-08-12,2021-08-18,"52,700","99,417",2021-08-25,"대신증권㈜,KB증권㈜"
,,,~ 2021-08-09,~ 2021-08-13,,,,,
유가증권 상장추진,롯데렌탈,2021-07-12,   2021-08-03,   2021-08-09,2021-08-12,"59,000","850,898",2021-08-19,"한국투자증권㈜,엔에이치투자증권주식회사"
,,,~ 2021-08-04,~ 2021-08-10,,,,,
유가증권 상장추진,일진하이솔루스,2021-07-09,   2021-08-19,   2021-08-24,2021-08-27,"34,300","373,664",2021-09-01,"미래에셋증권 주식회사,삼성증권㈜"
,,,~ 2021-08-20,~ 2021-08-25,,,,,
유가증권 상장추진,아주스틸,2021-07-07,   2021-08-02,   2021-08-09,2021-08-12,"15,100","104,756",2021-08-20,미래에셋증권 주식회사
,,,~ 2021-08-03,~ 2021-08-10,,,,,
유가증권 상장추진,크래프톤,2021-07-01,   2021-07-14,   2021-08-02,2021-08-05,"498,000","4,309,807",2021-08-10,미래에셋증권 주식회사
,,,~ 2021-07-27,~ 2021-08-03,,,,,
유가증권 상장추진,한컴라이프케어,2021-06-30,   2021-07-29,   2021-08-05,2021-08-10,"13,700","113,742",2021-08-17,미래에셋증권 주식회사
,,,~ 2021-07-30,~ 2021-08-06,,,,,
코스닥 상장추진,엠로,2021-06-30,   2021-07-29,   2021-08-04,2021-08-09,"22,600","22,964",2021-08-13,한국투자증권㈜
,,,~ 2021-07-30,~ 2021-08-05,,,,,
유가증권 상장추진,디앤디플랫폼리츠,2021-06-30,   2021-07-26,   2021-08-05,2021-08-11,"5,000","175,000",2021-08-27,"신한투자증권 주식회사,엔에이치투자증권주식회사,대신증권㈜"
,,,~ 2021-07-28,~ 2021-08-09,,,,,
코스닥 상장추진,HK이노엔,2021-06-30,   2021-07-22,   2021-07-29,2021-08-03,"59,000","596,903",2021-08-09,"한국투자증권㈜,제이피모간증권회사 서울지점,삼성증권㈜"
,,,~ 2021-07-26,~ 2021-07-30,,,,,
코스닥 상장추진,한화플러스제2호스팩,2021-06-29,   2021-07-21,   2021-07-26,2021-07-29,"2,000","7,500",2021-08-05,한화투자증권㈜
,,,~ 2021-07-22,~ 2021-07-27,,,,,
유가증권 상장추진,카카오뱅크,2021-06-28,   2021-07-20,   2021-07-26,2021-07-29,"39,000","2,552,550",2021-08-06,"KB증권㈜,CS증권 서울지점"
,,,~ 2021-07-21,~ 2021-07-27,,,,,
코스닥 상장추진,원티드랩,2021-06-23,   2021-07-26,   2021-08-02,2021-08-05,"35,000","25,550",2021-08-11,한국투자증권㈜
,,,~ 2021-07-27,~ 2021-08-03,,,,,
코스닥 상장추진,플래티어,2021-06-18,   2021-07-30,   2021-08-04,2021-08-09,"11,000","19,800",2021-08-12,KB증권㈜
,,,~ 2021-08-02,~ 2021-08-05,,,,,
코스닥 상장추진,브레인즈컴퍼니,2021-06-18,   2021-08-03,   2021-08-09,2021-08-12,"25,000","15,000",2021-08-19,키움증권㈜
,,,~ 2021-08-04,~ 2021-08-10,,,,,
코스닥 상장추진,딥노이드,2021-06-18,   2021-08-02,   2021-08-05,2021-08-10,"42,000","12,600",2021-08-17,KB증권㈜
,,,~ 2021-08-03,~ 2021-08-06,,,,,
코스닥 상장추진,큐라클,2021-06-15,   2021-07-07,   2021-07-13,2021-07-16,"25,000","53,333",2021-07-22,삼성증권㈜
,,,~ 2021-07-08,~ 2021-07-14,,,,,
유가증권 상장추진,에스디바이오센서,2021-06-11,   2021-07-05,   2021-07-08,2021-07-13,"52,000","776,381",2021-07-16,"한국투자증권㈜,엔에이치투자증권주식회사"
,,,~ 2021-07-06,~ 2021-07-09,,,,,
코스닥 상장추진,에브리봇,2021-06-09,   2021-07-13,   2021-07-19,2021-07-22,"36,700","41,104",2021-07-28,엔에이치투자증권주식회사
,,,~ 2021-07-14,~ 2021-07-20,,,,,
코스닥 상장추진,맥스트,2021-05-27,   2021-07-12,   2021-07-16,2021-07-21,"15,000","15,000",2021-07-27,하나증권주식회사
,,,~ 2021-07-13,~ 2021-07-19,,,,,
코스닥 상장추진,오비고,2021-05-13,   2021-06-28,   2021-07-01,2021-07-06,"14,300","34,792",2021-07-13,엔에이치투자증권주식회사
,,,~ 2021-06-29,~ 2021-07-02,,,,,
코스닥 상장추진,삼성머스트스팩5호,2021-05-11,   2021-06-03,   2021-06-08,2021-06-11,"2,000","8,000",2021-06-17,삼성증권㈜
,,,~ 2021-06-04,~ 2021-06-09,,,,,
코스닥 상장추진,이노뎁,2021-05-07,   2021-06-03,   2021-06-09,2021-06-14,"18,000","18,900",2021-06-18,하이투자증권㈜
,,,~ 2021-06-04,~ 2021-06-10,,,,,
코스닥 상장추진,LB루셈,2021-04-28,   2021-05-26,   2021-06-02,2021-06-07,"14,000","84,000",2021-06-11,"한국투자증권㈜,KB증권㈜"
,,,~ 2021-05-27,~ 2021-06-03,,,,,
코스닥 상장추진,리파인,2021-04-23,   2021-10-14,   2021-10-20,2021-10-25,"21,000","90,930",2021-10-29,KB증권㈜
,,,~ 2021-10-15,~ 2021-10-21,,,,,
코스닥 상장추진,에이디엠코리아,2021-04-16,   2021-05-17,   2021-05-25,2021-05-28,"3,800","17,100",2021-06-03,하나증권주식회사
,,,~ 2021-05-18,~ 2021-05-26,,,,,
유가증권 상장추진,엔에이치스팩19호,2021-04-14,   2021-05-06,   2021-05-11,2021-05-14,"2,000","96,000",2021-05-21,엔에이치투자증권주식회사
,,,~ 2021-05-07,~ 2021-05-12,,,,,
코스닥 상장추진,진시스템,2021-04-13,   2021-05-06,   2021-05-13,2021-05-18,"20,000","28,500",2021-05-26,삼성증권㈜
,,,~ 2021-05-07,~ 2021-05-14,,,,,
코스닥 상장추진,삼성스팩4호,2021-04-13,   2021-05-06,   2021-05-11,2021-05-14,"2,000","7,400",2021-05-21,삼성증권㈜
,,,~ 2021-05-07,~ 2021-05-12,,,,,
코스닥 상장추진,샘씨엔에스,2021-04-12,   2021-05-03,   2021-05-10,2021-05-13,"6,500","78,000",2021-05-20,대신증권㈜
,,,~ 2021-05-04,~ 2021-05-11,,,,,
코스닥 상장추진,라온테크,2021-04-09,   2021-05-31,   2021-06-07,2021-06-10,"18,000","9,000",2021-06-17,KB증권㈜
,,,~ 2021-06-01,~ 2021-06-08,,,,,
코스닥 상장추진,씨앤씨인터내셔널,2021-04-06,   2021-04-28,   2021-05-06,2021-05-11,"47,500","70,300",2021-05-17,엔에이치투자증권주식회사
,,,~ 2021-04-29,~ 2021-05-07,,,,,
코스닥 상장추진,제주맥주,2021-03-31,   2021-05-11,   2021-05-13,2021-05-18,"3,200","26,758",2021-05-26,대신증권㈜
,,,~ 2021-05-12,~ 2021-05-14,,,,,
유가증권 상장추진,SK아이이테크놀로지,2021-03-31,   2021-04-22,   2021-04-28,2021-05-03,"105,000","2,245,950",2021-05-11,"미래에셋증권 주식회사,제이피모간증권회사 서울지점"
,,,~ 2021-04-23,~ 2021-04-29,,,,,
코스닥 상장추진,하이제6호스팩,2021-03-30,   2021-04-22,   2021-04-28,2021-05-03,"2,000","8,500",2021-05-10,하이투자증권㈜
,,,~ 2021-04-23,~ 2021-04-29,,,,,
코스닥 상장추진,삼영에스앤씨,2021-03-23,   2021-05-06,   2021-05-11,2021-05-14,"11,000","12,155",2021-05-21,미래에셋증권 주식회사
,,,~ 2021-05-07,~ 2021-05-12,,,,,
코스닥 상장추진,쿠콘,2021-03-22,   2021-04-13,   2021-04-19,2021-04-22,"45,000","72,554",2021-04-28,"삼성증권㈜,하나증권주식회사"
,,,~ 2021-04-14,~ 2021-04-20,,,,,
코스닥 상장추진,이삭엔지니어링,2021-03-15,   2021-04-05,   2021-04-12,2021-04-15,"11,500","24,150",2021-04-21,신한투자증권 주식회사
,,,~ 2021-04-06,~ 2021-04-13,,,,,
