(단위 : 천원),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
회사명,종목코드,상장일,결산년도,결산월,업종,자산,부채,자본,매출액(수익),,영업이익,,당기순이익,
,,,(재무),(재무),,,,,매출액(수익),증감률,영업이익,증감률,당기순이익,증감률
퓨쳐메디신,341170,2022-07-27,2022,12월,자연과학 및 공학 연구개발업,"6,036,252","4,510,738","1,525,515",0,0,"-7,578,444",-16,"-6,999,528",45
벨로크,424760,2022-07-22,2022,12월,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","10,053,209","1,717,036","8,336,173",0,0,"-81,803",888,"-27,849",888
루닛,328130,2022-07-21,2022,12월,소프트웨어 개발 및 공급업,"98,867,642","28,230,065","70,637,577","13,865,732",108,"-48,611,906",-6,"-37,298,311",49
바스칸바이오제약,354390,2022-07-20,2022,12월,의약품 제조업,"30,484,698","5,828,884","24,655,814","26,797,640",15,"261,165",-37,"167,673",-54
HPSP,403870,2022-07-15,2022,12월,특수 목적용 기계 제조업,"260,926,477","65,554,608","195,371,869","159,336,323",73,"85,174,462",88,"66,005,615",86
와이씨켐,112290,2022-07-14,2022,12월,기타 화학제품 제조업,"116,088,114","48,541,169","67,546,944","82,350,140",24,"5,314,562",137,"4,164,612",611
대신밸런스제12호스팩,426670,2022-07-14,-,-,금융 지원 서비스업,0,0,0,0,0,0,0,0,0
코난테크놀로지,402030,2022-07-07,2022,12월,소프트웨어 개발 및 공급업,"49,868,456","9,262,366","40,606,089","15,388,168",-13,"-4,040,890",-280,"-3,276,841",-273
넥스트칩,396270,2022-07-01,2022,12월,반도체 제조업,"44,741,087","4,917,524","39,823,562","12,869,167",-47,"-27,399,489",-103,"-27,429,342",-26
삼성스팩6호,425290,2022-06-30,2022,12월,금융 지원 서비스업,"11,946,532","1,321,334","10,625,198",0,0,"-38,126",888,"66,206",888
엔에이치스팩23호,422040,2022-06-28,2022,12월,금융 지원 서비스업,"14,832,503","1,544,637","13,287,867",0,0,"-40,809",888,"10,256",888
보로노이,310210,2022-06-24,2022,12월,기초 의약물질 및 생물학적 제제 제조업,"78,933,906","28,540,323","50,393,583","9,747,827",-34,"-14,320,987",-63,"-16,386,451",-21
교보12호스팩,421800,2022-06-24,2022,12월,금융 지원 서비스업,"13,946,099","2,070,995","11,875,104",0,0,"-46,683",888,"54,405",888
레이저쎌,412350,2022-06-24,2022,12월,특수 목적용 기계 제조업,"38,097,740","2,876,646","35,221,093","6,000,775",-38,"-5,033,964",-532,"-4,102,656",49
케이비제21호스팩,424140,2022-06-23,2022,12월,금융 지원 서비스업,"17,263,258","1,823,128","15,440,130",0,0,"-61,456",888,"-132,820",888
위니아에이드,377460,2022-06-23,2022,12월,기타 운송관련 서비스업,"363,366,890","154,865,964","208,500,926","438,843,100",-9,"22,250,216",-35,"15,835,358",-36
비플라이소프트,148780,2022-06-20,2022,12월,소프트웨어 개발 및 공급업,"16,186,882","4,329,116","11,857,766","16,243,640",-4,"-1,178,653",-43,"-91,915",95
범한퓨얼셀,382900,2022-06-17,2022,12월,"전동기,발전기 및 전기변환·공급·제어장치 제조업","129,702,046","23,293,139","106,408,907","50,661,226",10,"1,309,946",-78,"2,257,780",-31
코나솔,176590,2022-06-15,2022,12월,특수 목적용 기계 제조업,"33,545,941","22,431,402","11,114,539","22,076,752",28,"1,716,503",14,"1,432,861",35
청담글로벌,362320,2022-06-03,2022,12월,생활용품 도매업,"78,620,926","16,480,652","62,140,274","195,117,646",43,"4,405,674",-53,"4,902,984",-15
하나금융22호스팩,418170,2022-05-26,2022,12월,금융 지원 서비스업,"12,144,559","1,146,151","10,998,408",0,0,"-36,982",888,"57,297",888
가온칩스,399720,2022-05-20,2022,12월,반도체 제조업,"73,187,158","18,740,111","54,447,046","43,320,505",34,"3,954,532",-36,"4,475,072",-27
대명에너지,389260,2022-05-16,2022,12월,건물 건설업,"163,949,597","36,325,471","127,624,126","71,402,643",-51,"17,057,674",-64,"13,225,819",-62
상상인제3호스팩,415580,2022-04-29,2022,12월,금융 지원 서비스업,"10,518,991","749,065","9,769,926",0,0,"-52,863","-1,613","61,746","2,342"
신영스팩7호,419270,2022-04-28,2022,12월,금융 지원 서비스업,"9,925,327","1,369,216","8,556,112",0,0,"-49,821",888,"12,655",888
포바이포,389140,2022-04-28,2022,12월,"영화, 비디오물, 방송프로그램 제작 및 배급업","62,196,220","5,179,475","57,016,745","14,050,665",-36,"-10,610,853",-364,"-8,673,066",-330
신한제9호스팩,405640,2022-04-27,2022,12월,금융 지원 서비스업,"9,900,723","1,371,242","8,529,482",0,0,"-37,475",-211,"35,551",358
미래에셋비전스팩1호,412930,2022-04-21,2022,12월,금융 지원 서비스업,"14,931,186","2,761,885","12,169,301",0,0,"-36,218",-180,"56,577",509
키움제6호스팩,413600,2022-04-07,2022,12월,금융 지원 서비스업,"7,771,542","1,177,827","6,593,715",0,0,"-53,264",-511,"8,151",202
지투파워,388050,2022-04-01,2022,12월,"전동기,발전기 및 전기변환·공급·제어장치 제조업","44,683,048","13,934,855","30,748,194","37,376,811",0,"204,482",-93,"736,027",36
유진스팩8호,413630,2022-03-31,2022,12월,금융 지원 서비스업,"12,427,859","1,408,433","11,019,426",0,0,"-55,315",-319,"57,682",560
세아메카닉스,396300,2022-03-24,2022,12월,기타 금속 가공제품 제조업,"78,967,294","15,216,586","63,750,708","87,638,725",-16,"2,253,778",-57,"3,827,707",-38
공구우먼,366030,2022-03-23,2022,12월,"섬유, 의복, 신발 및 가죽제품 소매업","63,198,047","3,900,734","59,297,313","58,686,880",24,"12,661,736",22,"11,327,936",29
유일로보틱스,388720,2022-03-18,2022,12월,특수 목적용 기계 제조업,"54,714,157","14,590,518","40,123,639","36,720,572",4,"-2,967,861",-200,"-2,151,604",-160
모아데이타,288980,2022-03-10,2022,12월,소프트웨어 개발 및 공급업,"55,871,803","18,693,704","37,178,099","21,713,748",10,"1,182,387",-56,"1,897,874",75
