(단위 : 천원),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
회사명,종목코드,상장일,매출액(수익),,,,,영업이익,,,,,당기순이익,,,,
,,,2019년,2020년,2021년,2022년,2023년,2019년,2020년,2021년,2022년,2023년,2019년,2020년,2021년,2022년,2023년
비플라이소프트,148780,2022-06-20,"15,215,720","14,939,499","16,994,280","16,243,640",0,"-1,767,695","-964,473","-820,600","-1,178,653",0,"-1,963,759","-2,263,643","-1,899,039","-91,915",0
범한퓨얼셀,382900,2022-06-17,0,"31,900,208","46,074,813","50,661,226",0,0,"4,956,448","6,165,812","1,309,946",0,0,"3,457,081","3,283,915","2,257,780",0
코나솔,176590,2022-06-15,"18,939,685","19,362,507","17,204,885","22,076,752",0,"2,235,915","2,392,336","1,690,009","1,716,503",0,"351,057","1,517,930","1,247,012","1,432,861",0
청담글로벌,362320,2022-06-03,"27,225,669","70,386,755","135,548,008","195,117,646",0,"581,801","3,728,892","9,364,858","4,405,674",0,"823,762","848,703","5,817,840","4,902,984",0
마스턴프리미어리츠,357430,2022-05-31,0,0,"239,393","3,014,759",0,0,"-60,446","30,197","2,209,873",0,0,"-60,061","30,002","2,210,222",0
하나금융22호스팩,418170,2022-05-26,0,0,0,0,0,0,0,0,"-36,982",0,0,0,0,"57,297",0
가온칩스,399720,2022-05-20,"25,937,747","17,098,306","32,235,607","43,320,505",0,"2,874,483","1,973,589","6,202,436","3,954,532",0,"3,263,375","1,851,742","6,182,766","4,475,072",0
대명에너지,389260,2022-05-16,"149,269,731","156,989,627","147,391,029","71,402,643",0,"34,514,335","36,994,424","48,515,481","17,057,674",0,"25,761,470","14,930,068","35,585,117","13,225,819",0
상상인제3호스팩,415580,2022-04-29,0,0,0,0,0,0,0,"-3,085","-52,863",0,0,0,"-2,753","61,746",0
신영스팩7호,419270,2022-04-28,0,0,0,0,0,0,0,0,"-49,821",0,0,0,0,"12,655",0
포바이포,389140,2022-04-28,"10,645,126","13,993,497","22,276,035","14,050,665",0,"813,863","1,812,890","4,013,970","-10,610,853",0,"688,221","1,354,291","3,763,917","-8,673,066",0
신한제9호스팩,405640,2022-04-27,0,0,0,0,0,0,0,"-12,045","-37,475",0,0,0,"-13,737","35,551",0
미래에셋비전스팩1호,412930,2022-04-21,0,0,0,0,0,0,0,"-12,925","-36,218",0,0,0,"-13,810","56,577",0
